# dim ns_lnz ns_lnz_err
001 -2.32946e+00 5.60098e-02
001 -2.42335e+00 5.73944e-02
001 -2.29641e+00 5.55845e-02
001 -2.34759e+00 5.64547e-02
001 -2.36440e+00 5.64067e-02
001 -2.35918e+00 5.63730e-02
001 -2.26569e+00 5.51261e-02
001 -2.32596e+00 5.57224e-02
001 -2.34104e+00 5.61758e-02
001 -2.30540e+00 5.57402e-02
001 -2.27990e+00 5.54546e-02
001 -2.29965e+00 5.57180e-02
001 -2.39362e+00 5.67021e-02
001 -2.31861e+00 5.60083e-02
001 -2.38298e+00 5.66637e-02
001 -2.32944e+00 5.60097e-02
001 -2.29760e+00 5.57774e-02
001 -2.24593e+00 5.49034e-02
001 -2.25553e+00 5.49107e-02
001 -2.31359e+00 5.58199e-02
001 -2.35400e+00 5.62764e-02
001 -2.23739e+00 5.48630e-02
001 -2.30055e+00 5.56194e-02
001 -2.30114e+00 5.57521e-02
001 -2.31620e+00 5.57822e-02
001 -2.21103e+00 5.44008e-02
001 -2.29800e+00 5.56643e-02
001 -2.40380e+00 5.67845e-02
001 -2.29726e+00 5.57381e-02
001 -2.27753e+00 5.51317e-02
001 -2.30320e+00 5.57242e-02
001 -2.28291e+00 5.53800e-02
001 -2.34991e+00 5.62011e-02
001 -2.32777e+00 5.62194e-02
001 -2.22012e+00 5.45625e-02
001 -2.29524e+00 5.56206e-02
001 -2.21970e+00 5.44638e-02
001 -2.29975e+00 5.57085e-02
001 -2.35310e+00 5.63494e-02
001 -2.32445e+00 5.60986e-02
001 -2.29734e+00 5.56235e-02
001 -2.37032e+00 5.66622e-02
001 -2.35793e+00 5.61324e-02
001 -2.25526e+00 5.50776e-02
001 -2.33053e+00 5.60351e-02
001 -2.29361e+00 5.54850e-02
001 -2.31224e+00 5.59035e-02
001 -2.32112e+00 5.58912e-02
001 -2.28080e+00 5.53614e-02
001 -2.27913e+00 5.53622e-02
001 -2.29241e+00 5.54933e-02
001 -2.35851e+00 5.65017e-02
001 -2.28043e+00 5.52309e-02
001 -2.32035e+00 5.60854e-02
001 -2.34141e+00 5.63199e-02
001 -2.34656e+00 5.62863e-02
001 -2.31744e+00 5.59243e-02
001 -2.24042e+00 5.48682e-02
001 -2.33259e+00 5.62237e-02
001 -2.33926e+00 5.63072e-02
001 -2.27512e+00 5.53973e-02
001 -2.24858e+00 5.50194e-02
001 -2.30394e+00 5.55330e-02
001 -2.35013e+00 5.64258e-02
001 -2.30024e+00 5.54927e-02
001 -2.23573e+00 5.47187e-02
001 -2.30158e+00 5.54850e-02
001 -2.34914e+00 5.63192e-02
001 -2.24777e+00 5.48964e-02
001 -2.24820e+00 5.47826e-02
001 -2.28315e+00 5.54616e-02
001 -2.36281e+00 5.64342e-02
001 -2.28300e+00 5.52368e-02
001 -2.24555e+00 5.49063e-02
001 -2.39531e+00 5.68323e-02
001 -2.27756e+00 5.52366e-02
001 -2.26211e+00 5.52118e-02
001 -2.26777e+00 5.52358e-02
001 -2.31909e+00 5.60407e-02
001 -2.34424e+00 5.61515e-02
001 -2.25352e+00 5.50949e-02
001 -2.29983e+00 5.55969e-02
001 -2.38098e+00 5.66485e-02
001 -2.29689e+00 5.55518e-02
001 -2.28105e+00 5.55988e-02
001 -2.26142e+00 5.51981e-02
001 -2.28370e+00 5.54545e-02
001 -2.27939e+00 5.54337e-02
001 -2.31717e+00 5.59176e-02
001 -2.35223e+00 5.64338e-02
001 -2.24740e+00 5.48902e-02
001 -2.35582e+00 5.63520e-02
001 -2.33253e+00 5.61457e-02
001 -2.30768e+00 5.58353e-02
001 -2.27021e+00 5.52319e-02
001 -2.35291e+00 5.62523e-02
001 -2.28467e+00 5.53956e-02
001 -2.28290e+00 5.55283e-02
001 -2.29830e+00 5.54671e-02
001 -2.31827e+00 5.59120e-02
001 -2.29640e+00 5.55066e-02
001 -2.28705e+00 5.54193e-02
001 -2.25565e+00 5.50354e-02
001 -2.27452e+00 5.55591e-02
001 -2.27362e+00 5.52841e-02
001 -2.24343e+00 5.47689e-02
001 -2.28562e+00 5.55294e-02
001 -2.35484e+00 5.64087e-02
001 -2.28220e+00 5.53874e-02
001 -2.29582e+00 5.55242e-02
001 -2.34426e+00 5.61827e-02
001 -2.23462e+00 5.47783e-02
001 -2.31785e+00 5.59091e-02
001 -2.39682e+00 5.69527e-02
001 -2.26122e+00 5.51796e-02
001 -2.29844e+00 5.56415e-02
001 -2.37773e+00 5.65244e-02
001 -2.26653e+00 5.52269e-02
001 -2.27094e+00 5.53162e-02
001 -2.35830e+00 5.65115e-02
001 -2.23291e+00 5.45085e-02
001 -2.39111e+00 5.69091e-02
001 -2.33793e+00 5.61448e-02
001 -2.29911e+00 5.57270e-02
001 -2.26821e+00 5.51844e-02
001 -2.35695e+00 5.62969e-02
001 -2.27672e+00 5.53597e-02
001 -2.27172e+00 5.54551e-02
001 -2.25618e+00 5.49488e-02
001 -2.24647e+00 5.50134e-02
001 -2.22614e+00 5.48073e-02
001 -2.26662e+00 5.51779e-02
001 -2.33990e+00 5.62152e-02
001 -2.35319e+00 5.62924e-02
001 -2.32966e+00 5.59658e-02
001 -2.28156e+00 5.54198e-02
001 -2.28941e+00 5.54610e-02
001 -2.28665e+00 5.54888e-02
001 -2.28949e+00 5.53621e-02
001 -2.28086e+00 5.53951e-02
001 -2.30109e+00 5.55496e-02
001 -2.35112e+00 5.63176e-02
001 -2.35148e+00 5.62783e-02
001 -2.33594e+00 5.61418e-02
001 -2.30111e+00 5.55689e-02
001 -2.34891e+00 5.63363e-02
001 -2.32473e+00 5.59096e-02
001 -2.34970e+00 5.60127e-02
001 -2.29613e+00 5.56428e-02
001 -2.30629e+00 5.59082e-02
001 -2.32219e+00 5.58868e-02
001 -2.28795e+00 5.54755e-02
