dim,FI,IDR,SS,TI,NS
1,-2.308824206,-2.305463168,-2.302419006,-2.302398647,-2.31640885488472
1,-2.306582989,-2.307538187,-2.305616344,-2.305601504,-2.36859918683873
1,-2.308333704,-2.30340799,-2.299447624,-2.299439516,-2.28452443195045
1,-2.307607667,-2.308768241,-2.306145026,-2.306143027,-2.30542257202722
1,-2.308314887,-2.302852263,-2.299042669,-2.29901881,-2.31193029917129
1,-2.30614005,-2.309863814,-2.310084513,-2.310071249,-2.31934814144322
1,-2.308295732,-2.308950838,-2.309300504,-2.309301329,-2.30283670120762
1,-2.306261521,-2.306945431,-2.305076896,-2.30508058,-2.33369668138628
1,-2.307376774,-2.306838764,-2.306050603,-2.30606339,-2.32143732465276
1,-2.309245613,-2.306121565,-2.303882506,-2.303878244,-2.29900831379719
1,-2.307485151,-2.305565981,-2.303021457,-2.30301641,-2.23699870015267
1,-2.309719503,-2.306830722,-2.305290291,-2.305289267,-2.31272785789632
1,-2.30656464,-2.307547566,-2.306739988,-2.306732619,-2.29108385231688
1,-2.305973837,-2.307759976,-2.309685618,-2.309659349,-2.29969454348743
1,-2.306767624,-2.307763631,-2.309444954,-2.309418828,-2.32881477098964
1,-2.309151875,-2.305340042,-2.306410121,-2.306397717,-2.28548659433233
1,-2.305322089,-2.308472802,-2.309933863,-2.309912368,-2.30562452303683
1,-2.305998025,-2.306087323,-2.307176494,-2.307178897,-2.34173689300229
1,-2.31008827,-2.304398164,-2.301641035,-2.301625454,-2.27111800697319
1,-2.303924462,-2.314250001,-2.315392312,-2.315394937,-2.31234800267529
1,-2.304980941,-2.308575797,-2.309401976,-2.309391015,-2.29554970387457
1,-2.307093915,-2.306230225,-2.308197131,-2.308190783,-2.23281123640116
1,-2.309648488,-2.307785759,-2.307802161,-2.307812237,-2.27000959425666
1,-2.30848794,-2.306012222,-2.302089881,-2.302068213,-2.32675716569411
1,-2.305292701,-2.307050816,-2.306292677,-2.306299904,-2.25590041321879
1,-2.312266855,-2.30386127,-2.298771453,-2.298751891,-2.20246179987336
1,-2.305337961,-2.307525774,-2.306630319,-2.306621402,-2.33952391676866
1,-2.30871377,-2.307409595,-2.304501854,-2.304501222,-2.32243900872363
1,-2.307817469,-2.307858465,-2.306618741,-2.306602393,-2.33864328810412
1,-2.307006896,-2.31014477,-2.313597057,-2.313588978,-2.35074473173173
1,-2.307507844,-2.305508918,-2.304791492,-2.304824852,-2.31249706221602
1,-2.307669254,-2.306644829,-2.304770628,-2.304750571,-2.27094765777989
1,-2.306167888,-2.309693571,-2.311918697,-2.311897277,-2.34933288802026
1,-2.307062851,-2.306127477,-2.304481056,-2.304460203,-2.34479078626527
1,-2.305718794,-2.308791727,-2.310600938,-2.310575732,-2.29356065389408
1,-2.305676971,-2.307379302,-2.306341961,-2.306329779,-2.32420104598599
1,-2.308994201,-2.305362236,-2.305464413,-2.305451928,-2.32257682554401
1,-2.306188137,-2.309486416,-2.310248031,-2.310245801,-2.38440119897058
1,-2.307117038,-2.309744802,-2.309924766,-2.309913519,-2.31462613094798
1,-2.309370275,-2.303440747,-2.305323405,-2.305305164,-2.35295189366173
1,-2.308233961,-2.310254396,-2.312533652,-2.312515269,-2.3465302088951
1,-2.307471729,-2.307274304,-2.30668625,-2.30668025,-2.31908562393175
1,-2.307041998,-2.30687841,-2.307416957,-2.307446226,-2.27178516626528
1,-2.304864163,-2.313111223,-2.317338201,-2.317306285,-2.36169848709627
1,-2.307092948,-2.306836969,-2.308673414,-2.308664619,-2.26479246759702
1,-2.307952966,-2.308228889,-2.307801623,-2.307832686,-2.34291070686759
1,-2.307640468,-2.308064596,-2.306814953,-2.306804067,-2.33245866189988
1,-2.306507299,-2.308233215,-2.310899679,-2.310902627,-2.31276798539175
1,-2.309700228,-2.305001672,-2.303895772,-2.303874805,-2.27593688211526
1,-2.305169365,-2.309619276,-2.311017035,-2.31103749,-2.37443796784974
1,-2.310149263,-2.306430934,-2.305457751,-2.305457981,-2.25706598640861
1,-2.305904514,-2.306505152,-2.304597225,-2.304588884,-2.26803799037974
1,-2.307464936,-2.307499637,-2.310025894,-2.310015097,-2.29995673489349
1,-2.305983796,-2.30832823,-2.307452935,-2.307448828,-2.27453159330021
1,-2.307790544,-2.306786242,-2.301210492,-2.30121681,-2.32664727405583
1,-2.308125846,-2.306653826,-2.304277029,-2.304277989,-2.34270552801108
1,-2.308177956,-2.306394177,-2.306965782,-2.306937013,-2.26074517578982
1,-2.306255566,-2.30743122,-2.30811951,-2.308094602,-2.33161274180435
1,-2.31112592,-2.307887397,-2.306400141,-2.306408077,-2.35039595246331
1,-2.307314934,-2.305936969,-2.3055665,-2.305559538,-2.31526856355493
1,-2.310620147,-2.305089616,-2.302900351,-2.302889315,-2.2829934486099
1,-2.308434524,-2.307272648,-2.305533,-2.305527097,-2.35709253286065
1,-2.306503262,-2.306627064,-2.303372659,-2.303350648,-2.28374694590849
1,-2.310642037,-2.308309948,-2.306208929,-2.306227006,-2.29334036672362
1,-2.307226013,-2.310410173,-2.309913367,-2.309894308,-2.30897590808281
1,-2.308006602,-2.306298458,-2.306713038,-2.306700874,-2.33889450468846
1,-2.305719924,-2.306776899,-2.309039282,-2.309044223,-2.29086491411022
1,-2.308989224,-2.304743077,-2.301299351,-2.301285445,-2.35377825366615
1,-2.309058308,-2.306018041,-2.304567754,-2.30456566,-2.25192569555836
1,-2.308186564,-2.304652097,-2.301786011,-2.301783065,-2.29537592377894
1,-2.306531243,-2.305541883,-2.305935743,-2.305918182,-2.29402741029878
1,-2.306801578,-2.304885079,-2.304544346,-2.304528768,-2.26475427794968
1,-2.308070415,-2.30826041,-2.306993854,-2.306994368,-2.34819496555392
1,-2.306915484,-2.307034298,-2.307644255,-2.307638639,-2.36065236364361
1,-2.308985979,-2.308234056,-2.308708534,-2.308698506,-2.32743127289677
1,-2.308082473,-2.306776109,-2.306117493,-2.306090401,-2.30074101458713
1,-2.307108452,-2.306382308,-2.304211022,-2.304198989,-2.29618776909286
1,-2.307597207,-2.307127977,-2.308700952,-2.308700233,-2.36035886936424
1,-2.307151089,-2.306269426,-2.30314539,-2.30313463,-2.26254502161076
1,-2.307411675,-2.306756838,-2.305424134,-2.305411776,-2.3079519931279
1,-2.307966862,-2.311525645,-2.312131241,-2.312135182,-2.27345502133519
